日時	GBP/USD(始値, 買い)	GBP/USD(高値, 買い)	GBP/USD(安値, 買い)	GBP/USD(終値, 買い)	GBP/USD(始値, 売り)	GBP/USD(高値, 売り)	GBP/USD(安値, 売り)	GBP/USD(終値, 売り)	
2014-02-01T07:00:00	1.64454	1.64454	1.62576	1.63317	1.64345	1.64405	1.62563	1.63302	
2014-01-25T07:00:00	1.64834	1.66268	1.64280	1.64454	1.64815	1.66251	1.64269	1.64345	
2014-01-18T07:00:00	1.64275	1.66688	1.63962	1.64834	1.64145	1.66679	1.63948	1.64815	
2014-01-11T07:00:00	1.64854	1.65088	1.63100	1.64275	1.64755	1.65077	1.63086	1.64145	
2014-01-04T07:00:00	1.64171	1.65171	1.63379	1.64854	1.64125	1.65174	1.63370	1.64755	
2013-12-28T07:00:00	1.64885	1.66040	1.63956	1.64171	1.64749	1.66034	1.63947	1.64125	
2013-12-21T07:00:00	1.63361	1.65786	1.63229	1.64885	1.63285	1.65778	1.63217	1.64749	
2013-12-14T07:00:00	1.62977	1.64849	1.62163	1.63361	1.62935	1.64850	1.62166	1.63285	
2013-12-07T07:00:00	1.63524	1.64665	1.62634	1.62977	1.63455	1.64653	1.62622	1.62935	
2013-11-30T07:00:00	1.63744	1.64434	1.62933	1.63524	1.63620	1.64419	1.62915	1.63455	
2013-11-23T07:00:00	1.62273	1.63849	1.61338	1.63744	1.62203	1.63842	1.61328	1.63620	
2013-11-16T07:00:00	1.61277	1.62273	1.60600	1.62273	1.61154	1.62237	1.60591	1.62203	
2013-11-09T07:00:00	1.60218	1.61351	1.58550	1.61277	1.60192	1.61345	1.58538	1.61154	
2013-11-02T06:00:00	1.59264	1.61185	1.59040	1.60218	1.59221	1.61175	1.59030	1.60192	
2013-10-26T06:00:00	1.61706	1.62086	1.59096	1.59264	1.61641	1.62076	1.59086	1.59221	
2013-10-19T06:00:00	1.61708	1.62575	1.61162	1.61706	1.61628	1.62563	1.61150	1.61641	
2013-10-12T06:00:00	1.59549	1.62257	1.58948	1.61708	1.59505	1.62244	1.58933	1.61628	
2013-10-05T06:00:00	1.60121	1.61249	1.59148	1.59549	1.60071	1.61236	1.59135	1.59505	
2013-09-28T06:00:00	1.61417	1.62610	1.60072	1.60121	1.61351	1.62600	1.60045	1.60071	
2013-09-21T06:00:00	1.60093	1.61476	1.59557	1.61417	1.60019	1.61461	1.59548	1.61351	
2013-09-14T06:00:00	1.58740	1.61645	1.58840	1.60093	1.58716	1.61623	1.58758	1.60019	
2013-09-07T06:00:00	1.56343	1.58855	1.56073	1.58740	1.56241	1.58843	1.56019	1.58716	
2013-08-31T06:00:00	1.55093	1.56824	1.55066	1.56343	1.54957	1.56806	1.55049	1.56241	
2013-08-24T06:00:00	1.55690	1.56128	1.54290	1.55093	1.55644	1.56116	1.54266	1.54957	
2013-08-17T06:00:00	1.56284	1.57185	1.55396	1.55690	1.56203	1.57172	1.55384	1.55644	
2013-08-10T06:00:00	1.55146	1.56581	1.54232	1.56284	1.55054	1.56569	1.54217	1.56203	
2013-08-03T06:00:00	1.52913	1.55749	1.52067	1.55146	1.52855	1.55743	1.52049	1.55054	
2013-07-27T06:00:00	1.53870	1.54147	1.51030	1.52913	1.53806	1.54134	1.51021	1.52855	
2013-07-20T06:00:00	1.52729	1.54348	1.52596	1.53870	1.52612	1.54337	1.52571	1.53806	
2013-07-13T06:00:00	1.51117	1.52827	1.50284	1.52729	1.50981	1.52813	1.50271	1.52612	
2013-07-06T06:00:00	1.48958	1.52232	1.48144	1.51117	1.48830	1.52216	1.48130	1.50981	
2013-06-29T06:00:00	1.52115	1.53054	1.48585	1.48958	1.52080	1.53038	1.48556	1.48830	
2013-06-22T06:00:00	1.54233	1.54788	1.51662	1.52115	1.54169	1.54774	1.51651	1.52080	
2013-06-15T06:00:00	1.57057	1.57522	1.53688	1.54233	1.56980	1.57509	1.53678	1.54169	
2013-06-08T06:00:00	1.55577	1.57380	1.54956	1.57057	1.55537	1.57371	1.54945	1.56980	
2013-06-01T06:00:00	1.51987	1.56850	1.51935	1.55577	1.51942	1.56835	1.51920	1.55537	
2013-05-25T06:00:00	1.51282	1.52403	1.50080	1.51987	1.51230	1.52396	1.50081	1.51942	
2013-05-18T06:00:00	1.51717	1.52818	1.50142	1.51282	1.51687	1.52811	1.50137	1.51230	
2013-05-11T06:00:00	1.53688	1.53857	1.51587	1.51717	1.53648	1.53848	1.51575	1.51687	
2013-05-04T06:00:00	1.55693	1.55990	1.53146	1.53688	1.55664	1.55976	1.53137	1.53648	
2013-04-27T06:00:00	1.54782	1.56065	1.54688	1.55693	1.54736	1.56064	1.54671	1.55664	
2013-04-20T06:00:00	1.52323	1.54995	1.51976	1.54782	1.52298	1.54984	1.51958	1.54736	
2013-04-13T06:00:00	1.53444	1.53857	1.52175	1.52323	1.53396	1.53845	1.52151	1.52298	
2013-04-06T06:00:00	1.53442	1.54120	1.52397	1.53444	1.53418	1.54110	1.52386	1.53396	
2013-03-30T06:00:00	1.52088	1.53642	1.50342	1.53442	1.52006	1.53630	1.50327	1.53418	
2013-03-23T06:00:00	1.52331	1.52613	1.50936	1.52088	1.52267	1.52608	1.50924	1.52006	
2013-03-16T06:00:00	1.51170	1.52484	1.50276	1.52331	1.51136	1.52476	1.50261	1.52267	
2013-03-09T07:00:00	1.49205	1.51770	1.48323	1.51170	1.49151	1.51760	1.48310	1.51136	
2013-03-02T07:00:00	1.50397	1.51998	1.48868	1.49205	1.50404	1.51987	1.48839	1.49151	
2013-02-23T07:00:00	1.51771	1.52225	1.49865	1.50397	1.51736	1.52215	1.49849	1.50404	
2013-02-16T07:00:00	1.55184	1.55184	1.51330	1.51771	1.55137	1.55137	1.51308	1.51736	
2013-02-09T07:00:00	1.58019	1.58107	1.54624	1.55184	1.57915	1.58093	1.54611	1.55137	
2013-02-02T07:00:00	1.57018	1.58449	1.56314	1.58019	1.56951	1.58442	1.56301	1.57915	
2013-01-26T07:00:00	1.58053	1.58787	1.56751	1.57018	1.57983	1.58782	1.56741	1.56951	
2013-01-19T07:00:00	1.58755	1.58939	1.57466	1.58053	1.58634	1.58930	1.57451	1.57983	
2013-01-12T07:00:00	1.61356	1.61552	1.58542	1.58755	1.61268	1.61544	1.58535	1.58634	
2013-01-05T07:00:00	1.60696	1.61811	1.59933	1.61356	1.60669	1.61789	1.59922	1.61268	
2012-12-29T07:00:00	1.61712	1.63485	1.60101	1.60696	1.61685	1.63418	1.60087	1.60669	
2012-12-22T07:00:00	1.61714	1.62068	1.60678	1.61712	1.61688	1.62055	1.60665	1.61685	
2012-12-15T07:00:00	1.61700	1.63070	1.61530	1.61714	1.61679	1.63062	1.61517	1.61688	
2012-12-08T07:00:00	1.60425	1.61782	1.60148	1.61700	1.60408	1.61772	1.60135	1.61679	
2012-12-01T07:00:00	1.60102	1.61313	1.60025	1.60425	1.60086	1.61303	1.60015	1.60408	
2012-11-24T07:00:00	1.60364	1.60628	1.59628	1.60102	1.60260	1.60619	1.59617	1.60086	
2012-11-17T07:00:00	1.58853	1.60519	1.58835	1.60364	1.58831	1.60511	1.58813	1.60260	
2012-11-10T07:00:00	1.59040	1.59162	1.58287	1.58853	1.58944	1.59149	1.58228	1.58831	
2012-11-03T06:00:00	1.60276	1.60429	1.58874	1.59040	1.60207	1.60420	1.58869	1.58944	
2012-10-27T06:00:00	1.61040	1.61755	1.60076	1.60276	1.61018	1.61745	1.60065	1.60207	
2012-10-20T06:00:00	1.60076	1.61443	1.59143	1.61040	1.60045	1.61432	1.59131	1.61018	
2012-10-13T06:00:00	1.60717	1.61788	1.59973	1.60076	1.60719	1.61780	1.59965	1.60045	
2012-10-06T06:00:00	1.61312	1.61461	1.59769	1.60717	1.61279	1.61405	1.59760	1.60719	
2012-09-29T06:00:00	1.61606	1.62177	1.60677	1.61312	1.61614	1.62168	1.60665	1.61279	
2012-09-22T06:00:00	1.62308	1.62728	1.61139	1.61606	1.62278	1.62717	1.61128	1.61614	
2012-09-15T06:00:00	1.62172	1.63101	1.61640	1.62308	1.62150	1.63092	1.61629	1.62278	
2012-09-08T06:00:00	1.60090	1.62563	1.59601	1.62172	1.60047	1.62556	1.59588	1.62150	
2012-09-01T06:00:00	1.58740	1.60351	1.58265	1.60090	1.58603	1.60336	1.58253	1.60047	
2012-08-25T06:00:00	1.58131	1.58964	1.57547	1.58740	1.58088	1.58950	1.57532	1.58603	
2012-08-18T06:00:00	1.57010	1.59129	1.56785	1.58131	1.56885	1.59122	1.56774	1.58088	
2012-08-11T06:00:00	1.56893	1.57452	1.56370	1.57010	1.56850	1.57442	1.56359	1.56885	
2012-08-04T06:00:00	1.56544	1.57018	1.55474	1.56893	1.56412	1.57009	1.55462	1.56850	
2012-07-28T06:00:00	1.57509	1.57571	1.54910	1.56544	1.57370	1.57503	1.54900	1.56412	
2012-07-21T06:00:00	1.56300	1.57690	1.54593	1.57509	1.56200	1.57674	1.54579	1.57370	
2012-07-14T06:00:00	1.55790	1.57381	1.55181	1.56300	1.55690	1.57367	1.55167	1.56200	
2012-07-07T06:00:00	1.54905	1.55825	1.53939	1.55790	1.54867	1.55804	1.53924	1.55690	
2012-06-30T06:00:00	1.57090	1.57227	1.54615	1.54905	1.56947	1.57212	1.54605	1.54867	
2012-06-23T06:00:00	1.55944	1.57173	1.54858	1.57090	1.55829	1.57136	1.54846	1.56947	
2012-06-16T06:00:00	1.57245	1.57781	1.55578	1.55944	1.57106	1.57774	1.55565	1.55829	
2012-06-09T06:00:00	1.54786	1.57330	1.54552	1.57245	1.54656	1.57233	1.54532	1.57106	
2012-06-02T06:00:00	1.53670	1.56012	1.53217	1.54786	1.53530	1.56005	1.53207	1.54656	
2012-05-26T06:00:00	1.56628	1.57178	1.52688	1.53670	1.56521	1.57167	1.52679	1.53530	
2012-05-19T06:00:00	1.58241	1.58486	1.56310	1.56628	1.58125	1.58478	1.56300	1.56521	
2012-05-12T06:00:00	1.60743	1.61236	1.57321	1.58241	1.60636	1.61227	1.57310	1.58125	
2012-05-05T06:00:00	1.61563	1.61994	1.60625	1.60743	1.61462	1.61979	1.60613	1.60636	
2012-04-28T06:00:00	1.62708	1.63020	1.61421	1.61563	1.62597	1.63009	1.61409	1.61462	
2012-04-21T06:00:00	1.61278	1.62809	1.60775	1.62708	1.61164	1.62799	1.60761	1.62597	
2012-04-14T06:00:00	1.58518	1.61508	1.58197	1.61278	1.58429	1.61485	1.58185	1.61164	
2012-04-07T06:00:00	1.58768	1.59858	1.58098	1.58518	1.58677	1.59847	1.58083	1.58429	
2012-03-31T06:00:00	1.60173	1.60635	1.58058	1.58768	1.60052	1.60622	1.58046	1.58677	
2012-03-24T06:00:00	1.58733	1.60379	1.58021	1.60173	1.58642	1.60369	1.58006	1.60052	
2012-03-17T06:00:00	1.58483	1.59239	1.57724	1.58733	1.58394	1.59225	1.57691	1.58642	
2012-03-10T07:00:00	1.56788	1.58619	1.56032	1.58483	1.56697	1.58607	1.56019	1.58394	
2012-03-03T07:00:00	1.58368	1.58834	1.56630	1.56788	1.58287	1.58818	1.56619	1.56697	
2012-02-25T07:00:00	1.58794	1.59925	1.58004	1.58368	1.58749	1.59918	1.57992	1.58287	
2012-02-18T07:00:00	1.58352	1.59006	1.56493	1.58794	1.58260	1.58987	1.56480	1.58749	
2012-02-11T07:00:00	1.57578	1.58629	1.56455	1.58352	1.57516	1.58615	1.56442	1.58260	
2012-02-04T07:00:00	1.58183	1.59290	1.57307	1.57578	1.58098	1.59284	1.57295	1.57516	
2012-01-28T07:00:00	1.57298	1.58834	1.56550	1.58183	1.57261	1.58823	1.56535	1.58098	
2012-01-21T07:00:00	1.55793	1.57415	1.55176	1.57298	1.55716	1.57401	1.55162	1.57261	
2012-01-14T07:00:00	1.53228	1.55803	1.52819	1.55793	1.53071	1.55762	1.52744	1.55716	
2012-01-07T07:00:00	1.54275	1.55013	1.52342	1.53228	1.54245	1.55004	1.52328	1.53071	
2011-12-31T07:00:00	1.55486	1.56710	1.53766	1.54275	1.55450	1.56692	1.53753	1.54245	
2011-12-24T07:00:00	1.55912	1.57038	1.53626	1.55486	1.55835	1.57010	1.53605	1.55450	
2011-12-17T07:00:00	1.55492	1.57750	1.54666	1.55912	1.55449	1.57737	1.54645	1.55835	
2011-12-10T07:00:00	1.56768	1.56768	1.54091	1.55492	1.56641	1.56641	1.54079	1.55449	
2011-12-03T07:00:00	1.56020	1.57699	1.55622	1.56768	1.56001	1.57692	1.55611	1.56641	
2011-11-26T07:00:00	1.54525	1.57804	1.54525	1.56020	1.54515	1.57796	1.54515	1.56001	
2011-11-19T07:00:00	1.57881	1.58072	1.54235	1.54525	1.57869	1.57965	1.54228	1.54515	
2011-11-12T07:00:00	1.60789	1.60970	1.56925	1.57881	1.60774	1.60915	1.56906	1.57869	
2011-11-05T06:00:00	1.60192	1.61311	1.58694	1.60789	1.60203	1.61298	1.58681	1.60774	
2011-10-29T06:00:00	1.61286	1.61676	1.58777	1.60192	1.61265	1.61658	1.58753	1.60203	
2011-10-22T06:00:00	1.59701	1.61536	1.58918	1.61286	1.59676	1.61524	1.58902	1.61265	
2011-10-15T06:00:00	1.58136	1.59750	1.56322	1.59701	1.58128	1.59725	1.56308	1.59676	
2011-10-08T06:00:00	1.55633	1.58532	1.55291	1.58136	1.55603	1.58518	1.55267	1.58128	
2011-10-01T06:00:00	1.55939	1.56468	1.52729	1.55633	1.55904	1.56457	1.52706	1.55603	
2011-09-24T06:00:00	1.54786	1.57166	1.54335	1.55939	1.54740	1.57153	1.54315	1.55904	
2011-09-17T06:00:00	1.57994	1.57994	1.53294	1.54786	1.57915	1.57915	1.53273	1.54740	
2011-09-10T06:00:00	1.58793	1.58865	1.57073	1.57994	1.58763	1.58852	1.57057	1.57915	
2011-09-03T06:00:00	1.62228	1.62228	1.58452	1.58793	1.62206	1.62206	1.58432	1.58763	
2011-08-27T06:00:00	1.63500	1.64548	1.61326	1.62228	1.63469	1.64540	1.61312	1.62206	
2011-08-20T06:00:00	1.64726	1.65739	1.62082	1.63500	1.64716	1.65723	1.62073	1.63469	
2011-08-13T06:00:00	1.62813	1.66186	1.62562	1.64726	1.62787	1.66173	1.62549	1.64716	
2011-08-06T06:00:00	1.63911	1.64802	1.61123	1.62813	1.63889	1.64776	1.61109	1.62787	
2011-07-30T06:00:00	1.64212	1.64763	1.62254	1.63911	1.64191	1.64747	1.62238	1.63889	
2011-07-23T06:00:00	1.63025	1.64709	1.62620	1.64212	1.63004	1.64705	1.62604	1.64191	
2011-07-16T06:00:00	1.61313	1.63427	1.60059	1.63025	1.61276	1.63396	1.60044	1.63004	
2011-07-09T06:00:00	1.60455	1.61945	1.57816	1.61313	1.60436	1.61938	1.57790	1.61276	
2011-07-02T06:00:00	1.60672	1.61411	1.59323	1.60455	1.60654	1.61399	1.59312	1.60436	
2011-06-25T06:00:00	1.59640	1.61194	1.59125	1.60672	1.59628	1.61180	1.59112	1.60654	
2011-06-18T06:00:00	1.61814	1.62635	1.59394	1.59640	1.61791	1.62626	1.59378	1.59628	
2011-06-11T06:00:00	1.62267	1.64464	1.60796	1.61814	1.62252	1.64410	1.60783	1.61791	
2011-06-04T06:00:00	1.64345	1.64734	1.62211	1.62267	1.64278	1.64721	1.62125	1.62252	
2011-05-28T06:00:00	1.64825	1.65478	1.62863	1.64345	1.64804	1.65465	1.62855	1.64278	
2011-05-21T06:00:00	1.62458	1.65101	1.60576	1.64825	1.62427	1.65096	1.60566	1.64804	
2011-05-14T06:00:00	1.61893	1.63060	1.61058	1.62458	1.61876	1.63046	1.61048	1.62427	
2011-05-07T06:00:00	1.63988	1.65182	1.61477	1.61893	1.63971	1.65175	1.61462	1.61876	
2011-04-30T06:00:00	1.67048	1.67393	1.63562	1.63988	1.67030	1.67377	1.63534	1.63971	
2011-04-23T06:00:00	1.65186	1.67476	1.64321	1.67048	1.65139	1.67454	1.64307	1.67030	
2011-04-16T06:00:00	1.62963	1.66004	1.61668	1.65186	1.62945	1.65988	1.61652	1.65139	
2011-04-09T06:00:00	1.63805	1.64268	1.62283	1.62963	1.63786	1.64258	1.62270	1.62945	
2011-04-02T06:00:00	1.61203	1.64287	1.60931	1.63805	1.61186	1.64275	1.60914	1.63786	
2011-03-26T06:00:00	1.60203	1.61518	1.59376	1.61203	1.60190	1.61509	1.59360	1.61186	
2011-03-19T06:00:00	1.62291	1.64016	1.60087	1.60203	1.62268	1.64007	1.60074	1.60190	
2011-03-12T07:00:00	1.60882	1.62575	1.59794	1.62291	1.60867	1.62559	1.59778	1.62268	
2011-03-05T07:00:00	1.62727	1.63421	1.59781	1.60882	1.62712	1.63413	1.59766	1.60867	
2011-02-26T07:00:00	1.61156	1.63449	1.60727	1.62727	1.61142	1.63436	1.60711	1.62712	
2011-02-19T07:00:00	1.62347	1.62786	1.60317	1.61156	1.62308	1.62739	1.60304	1.61142	
2011-02-12T07:00:00	1.59994	1.62637	1.59823	1.62347	1.59986	1.62627	1.59812	1.62308	
2011-02-05T07:00:00	1.60987	1.61861	1.59643	1.59994	1.60968	1.61846	1.59624	1.59986	
2011-01-29T07:00:00	1.58639	1.62791	1.58219	1.60987	1.58617	1.62778	1.58212	1.60968	
2011-01-22T07:00:00	1.60051	1.60178	1.57513	1.58639	1.60029	1.60162	1.57503	1.58617	
2011-01-15T07:00:00	1.58743	1.60604	1.58368	1.60051	1.58720	1.60596	1.58353	1.60029	
2011-01-08T07:00:00	1.55499	1.58893	1.54761	1.58743	1.55486	1.58885	1.54745	1.58720	
2011-01-01T07:00:00	1.55969	1.56464	1.54067	1.55499	1.55953	1.56453	1.54051	1.55486	
2010-12-25T07:00:00	1.54453	1.56668	1.53458	1.55970	1.54410	1.56649	1.53442	1.55951	
2010-12-18T07:00:00	1.55204	1.55776	1.53569	1.54453	1.55176	1.55761	1.53558	1.54410	
2010-12-11T07:00:00	1.58109	1.59117	1.54552	1.55204	1.58096	1.59109	1.54539	1.55176	
2010-12-04T07:00:00	1.57728	1.58632	1.56562	1.58109	1.57706	1.58616	1.56552	1.58096	
2010-11-27T07:00:00	1.55936	1.57888	1.54856	1.57728	1.55911	1.57871	1.54842	1.57706	
2010-11-20T07:00:00	1.59884	1.60852	1.55776	1.55936	1.59865	1.60840	1.55751	1.55911	
2010-11-13T07:00:00	1.61523	1.61553	1.58401	1.59884	1.61466	1.61537	1.58379	1.59865	
2010-11-06T06:00:00	1.61865	1.62153	1.59533	1.61373	1.61851	1.62127	1.59508	1.61360	
2010-10-30T06:00:00	1.60237	1.62997	1.59621	1.61865	1.60206	1.62986	1.59610	1.61851	
2010-10-23T06:00:00	1.56813	1.60388	1.56661	1.60237	1.56798	1.60366	1.56554	1.60206	
2010-10-16T06:00:00	1.59865	1.60048	1.56511	1.56813	1.59835	1.60036	1.56492	1.56798	
2010-10-09T06:00:00	1.59530	1.61084	1.57556	1.59865	1.59513	1.61063	1.57544	1.59835	
2010-10-02T06:00:00	1.58359	1.60185	1.57492	1.59530	1.58339	1.60175	1.57485	1.59513	
2010-09-25T06:00:00	1.58286	1.59231	1.56707	1.58359	1.58264	1.59229	1.56694	1.58339	
2010-09-18T06:00:00	1.56233	1.58441	1.55042	1.58286	1.56215	1.58431	1.55027	1.58264	
2010-09-11T06:00:00	1.53546	1.57301	1.53490	1.56233	1.53527	1.57289	1.53479	1.56215	
2010-09-04T06:00:00	1.54673	1.55337	1.52972	1.53546	1.54656	1.55327	1.52964	1.53527	
2010-08-28T06:00:00	1.55147	1.55771	1.53273	1.54673	1.55132	1.55759	1.53263	1.54656	
2010-08-21T06:00:00	1.55339	1.56203	1.53732	1.55147	1.55320	1.56188	1.53720	1.55132	
2010-08-14T06:00:00	1.55938	1.57034	1.54645	1.55339	1.55903	1.57022	1.54624	1.55320	
2010-08-07T06:00:00	1.59660	1.59981	1.55627	1.55938	1.59640	1.59936	1.55612	1.55903	
2010-07-31T06:00:00	1.56908	1.59988	1.56908	1.59660	1.56887	1.59981	1.56887	1.59640	
2010-07-24T06:00:00	1.54294	1.57221	1.54103	1.56908	1.54269	1.57212	1.54084	1.56887	
2010-07-17T06:00:00	1.53000	1.54502	1.51255	1.54294	1.52979	1.54488	1.51239	1.54269	
2010-07-10T06:00:00	1.50623	1.54731	1.49493	1.53000	1.50605	1.54714	1.49480	1.52979	
2010-07-03T06:00:00	1.51971	1.52424	1.50514	1.50623	1.51959	1.52406	1.50501	1.50605	
2010-06-26T06:00:00	1.50783	1.52302	1.48740	1.51971	1.50756	1.52281	1.48729	1.51959	
2010-06-19T06:00:00	1.48227	1.50794	1.46881	1.50783	1.48240	1.50776	1.46867	1.50756	
2010-06-12T06:00:00	1.45348	1.48843	1.45348	1.48227	1.45361	1.48856	1.45361	1.48240	
2010-06-05T06:00:00	1.44718	1.47573	1.43448	1.45348	1.44731	1.47586	1.43461	1.45361	
2010-05-29T06:00:00	1.44553	1.47688	1.44181	1.44718	1.44519	1.47701	1.44128	1.44731	
2010-05-22T06:00:00	1.44853	1.46122	1.42598	1.44553	1.44826	1.46111	1.42581	1.44519	
2010-05-15T06:00:00	1.45387	1.45488	1.42283	1.44853	1.45364	1.45456	1.42262	1.44826	
2010-05-08T06:00:00	1.48213	1.50548	1.44967	1.45387	1.48191	1.50540	1.44954	1.45364	
2010-05-01T06:00:00	1.53021	1.53370	1.44772	1.48213	1.53002	1.53264	1.44754	1.48191	
2010-04-24T06:00:00	1.53798	1.54986	1.51261	1.53021	1.53771	1.54969	1.51248	1.53002	
2010-04-17T06:00:00	1.53923	1.54743	1.51920	1.53798	1.53903	1.54726	1.51910	1.53771	
2010-04-10T06:00:00	1.53808	1.55238	1.53374	1.53923	1.53779	1.55232	1.53356	1.53903	
2010-04-03T06:00:00	1.52074	1.53927	1.51301	1.53808	1.52035	1.53913	1.51286	1.53779	
2010-03-27T06:00:00	1.49032	1.52997	1.48928	1.52074	1.49007	1.52981	1.48918	1.52035	
2010-03-20T06:00:00	1.50206	1.51134	1.47990	1.49032	1.50186	1.51118	1.47980	1.49007	
2010-03-13T07:00:00	1.51875	1.53825	1.49787	1.50206	1.51854	1.53816	1.49770	1.50186	
2010-03-06T07:00:00	1.51476	1.52185	1.48733	1.51875	1.51451	1.52169	1.48720	1.51854	
2010-02-27T07:00:00	1.52514	1.52514	1.47851	1.51476	1.52488	1.52488	1.47824	1.51451	
2010-02-20T07:00:00	1.54557	1.55768	1.51531	1.52514	1.54534	1.55751	1.51514	1.52488	
2010-02-13T07:00:00	1.56736	1.58170	1.53491	1.54557	1.56709	1.58155	1.53430	1.54534	
2010-02-06T07:00:00	1.56311	1.57657	1.55353	1.56736	1.56284	1.57652	1.55336	1.56709	
2010-01-30T07:00:00	1.59854	1.60703	1.55593	1.56311	1.59826	1.60695	1.55578	1.56284	
2010-01-23T07:00:00	1.61268	1.62770	1.59834	1.59854	1.61251	1.62758	1.59814	1.59826	
2010-01-16T07:00:00	1.62590	1.64589	1.60778	1.61173	1.62576	1.64576	1.60765	1.61156	
2010-01-09T07:00:00	1.60283	1.63575	1.60283	1.62590	1.60256	1.63558	1.60256	1.62576	
2010-01-02T07:00:00	1.61653	1.62430	1.58973	1.60283	1.61636	1.62414	1.58960	1.60256	
2009-12-26T07:00:00	1.59418	1.62373	1.58332	1.61653	1.59402	1.62361	1.58315	1.61636	
2009-12-19T07:00:00	1.61413	1.61664	1.59226	1.59418	1.61388	1.61647	1.59209	1.59402	
2009-12-12T07:00:00	1.62444	1.64123	1.60534	1.61413	1.62427	1.64111	1.60517	1.61388	
2009-12-05T07:00:00	1.64485	1.65172	1.61682	1.62444	1.64460	1.65156	1.61665	1.62427	
2009-11-28T07:00:00	1.64742	1.67231	1.63813	1.64485	1.64707	1.67216	1.63800	1.64460	
2009-11-21T07:00:00	1.65142	1.67472	1.62726	1.64742	1.65119	1.67456	1.62709	1.64707	
2009-11-14T07:00:00	1.66960	1.68790	1.64617	1.65142	1.66931	1.68778	1.64600	1.65119	
2009-11-07T07:00:00	1.66113	1.68439	1.65162	1.66960	1.66083	1.68427	1.65145	1.66931	
2009-10-31T06:00:00	1.64139	1.66372	1.62617	1.66113	1.64116	1.66358	1.62606	1.66083	
2009-10-24T06:00:00	1.63090	1.66051	1.62527	1.64139	1.63066	1.66035	1.62511	1.64116	
2009-10-17T06:00:00	1.63588	1.66950	1.62414	1.63090	1.63564	1.66936	1.62397	1.63066	
2009-10-10T06:00:00	1.58431	1.64006	1.57086	1.63588	1.58414	1.63991	1.57069	1.63564	
2009-10-03T06:00:00	1.59185	1.61215	1.58263	1.58431	1.59155	1.61201	1.58255	1.58414	
2009-09-26T06:00:00	1.59352	1.61272	1.57708	1.59185	1.59323	1.61258	1.57693	1.59155	
2009-09-19T06:00:00	1.62351	1.64688	1.59158	1.59352	1.62319	1.64680	1.59148	1.59323	
2009-09-12T06:00:00	1.66739	1.67009	1.62316	1.62351	1.66709	1.66864	1.62301	1.62319	
2009-09-05T06:00:00	1.63989	1.67431	1.63238	1.66739	1.63948	1.67414	1.63221	1.66709	
2009-08-29T06:00:00	1.62766	1.64148	1.61133	1.63989	1.62721	1.64132	1.61121	1.63948	
2009-08-22T06:00:00	1.64896	1.65470	1.61541	1.62766	1.64866	1.65459	1.61527	1.62721	
2009-08-15T06:00:00	1.65323	1.66257	1.62768	1.64896	1.65294	1.66245	1.62751	1.64866	
2009-08-08T06:00:00	1.66857	1.67230	1.63916	1.65323	1.66823	1.67181	1.63899	1.65294	
2009-08-01T06:00:00	1.67065	1.70438	1.66517	1.66857	1.67028	1.70422	1.66504	1.66823	
2009-07-25T06:00:00	1.64301	1.67340	1.63402	1.67065	1.64275	1.67328	1.63377	1.67028	
2009-07-18T06:00:00	1.63455	1.65873	1.63118	1.64301	1.63420	1.65856	1.63101	1.64275	
2009-07-11T06:00:00	1.62089	1.64822	1.60334	1.63455	1.62058	1.64796	1.60325	1.63420	
2009-07-04T06:00:00	1.63275	1.63813	1.59847	1.62089	1.63219	1.63797	1.59830	1.62058	
2009-06-27T06:00:00	1.65272	1.67455	1.63029	1.63275	1.65237	1.67444	1.63008	1.63219	
2009-06-20T06:00:00	1.65006	1.66034	1.62098	1.65272	1.64957	1.66021	1.62081	1.65237	
2009-06-13T06:00:00	1.64305	1.65626	1.61884	1.65006	1.64270	1.65615	1.61867	1.64957	
2009-06-06T06:00:00	1.59782	1.66235	1.58024	1.64305	1.59747	1.66220	1.58018	1.64270	
2009-05-30T06:00:00	1.61659	1.66640	1.59413	1.59782	1.61628	1.66625	1.59393	1.59747	
2009-05-23T06:00:00	1.59094	1.61994	1.57786	1.61659	1.59064	1.61991	1.57769	1.61628	
2009-05-16T06:00:00	1.51679	1.59473	1.51175	1.59094	1.51650	1.59456	1.51159	1.59064	
2009-05-09T06:00:00	1.52375	1.53538	1.50590	1.51679	1.52345	1.53526	1.50582	1.51650	
2009-05-02T06:00:00	1.49141	1.52401	1.48365	1.52375	1.49102	1.52362	1.48334	1.52345	
2009-04-25T06:00:00	1.46597	1.49488	1.45161	1.49141	1.46557	1.49487	1.45146	1.49102	
2009-04-18T06:00:00	1.47854	1.48158	1.43973	1.46597	1.47811	1.48146	1.43958	1.46557	
2009-04-11T06:00:00	1.46601	1.50703	1.46058	1.47854	1.46550	1.50686	1.46019	1.47811	
2009-04-04T06:00:00	1.48256	1.49607	1.45833	1.46601	1.48239	1.49582	1.45797	1.46550	
2009-03-28T06:00:00	1.43026	1.48478	1.41122	1.48256	1.43003	1.48461	1.41103	1.48239	
2009-03-21T06:00:00	1.44426	1.47790	1.42682	1.43026	1.44409	1.47777	1.42665	1.43003	
2009-03-14T06:00:00	1.39781	1.45980	1.38461	1.44426	1.39765	1.45964	1.38434	1.44409	
